NM_001005484	OR4F5
ENST00000423372	AL627309.1
NM_001005221	OR4F29
NM_001005277	OR4F16
ENST00000599533	AL669831.1
ENST00000594233	AL645608.2
ENST00000598827	AL645608.1
NM_152486	SAMD11
NM_015658	NOC2L
NM_198317	KLHL17
NM_032129	PLEKHN1
ENST00000433179	C1orf170
NM_001291366	PERM1
NM_001142467	HES4
NM_005101	ISG15
NM_198576	AGRN
NM_001205252	RNF223
NM_017891	C1orf159
NM_001130045	TTLL10
NM_148901	TNFRSF18
NM_003327	TNFRSF4
NM_016176	SDF4
NM_080605	B3GALT6
NM_001014980	FAM132A
NM_194315	UBE2J2
NM_001130413	SCNN1D
NM_030649	ACAP3
NM_153339	PUSL1
NM_001256456	CPSF3L
NM_001029885	GLTPD1
NM_152228	TAS1R3
NM_004421	DVL1
NM_001282585	MXRA8
NM_001127229	AURKAIP1
NM_030937	CCNL2
ENST00000448629	RP4-758J18.2
NM_017971	MRPL20
NM_001145210	ANKRD65
NM_001146685	TMEM88B
NM_022834	VWA1
NM_001039211	ATAD3C
NM_031921	ATAD3B
NM_018188	ATAD3A
NM_001114748	TMEM240
NM_014188	SSU72
ENST00000366221	AL645728.1
NM_001242659	C1orf233
NM_080875	MIB2
NM_006983	MMP23B
NM_001787	CDK11B
NM_001290264	SLC35E2B
NM_024011	CDK11A
NM_182838	SLC35E2
NM_001198994	NADK
NM_002074	GNB1
NM_138705	CALML6
NM_178545	TMEM52
ENST00000493964	C1orf222
NM_001080484	KIAA1751
NM_000815	GABRD
NM_002744	PRKCZ
NM_001282670	C1orf86
ENST00000597060	AL590822.2
ENST00000545087	AL590822.1
NM_003036	SKI
NM_024848	MORN1
ENST00000600779	AL589739.1
NM_007033	RER1
NM_153818	PEX10
NM_014638	PLCH2
NM_018216	PANK4
NM_001010926	HES5
NM_003820	TNFRSF14
NM_001195736	FAM213B
NM_033467	MMEL1
NM_001242672	TTC34
NM_080431	ACTRT2
NM_022114	PRDM16
NM_014448	ARHGEF16
NM_001409	MEGF6
NM_182752	TPRG1L
NM_017818	WRAP73
NM_005427	TP73
NM_152492	CCDC27
NM_001288583	SMIM1
NM_020710	LRRC47
NM_014704	CEP104
NM_001282669	DFFB
NM_207356	C1orf174
NM_018836	AJAP1
NM_015102	NPHP4
ENST00000594544	AL035406.1
NM_001199862	KCNAB2
NM_015557	CHD5
NM_000983	RPL22
NM_207396	RNF207
NM_012405	ICMT
NM_001024598	HES3
NM_207370	GPR153
NM_181864	ACOT7
NM_019089	HES2
NM_031475	ESPN
NM_148965	TNFRSF25
NM_001265592	PLEKHG5
NM_024654	NOL9
NM_138697	TAS1R1
NM_005341	ZBTB48
NM_014851	KLHL21
NM_153812	PHF13
NM_001195753	THAP3
NM_018198	DNAJC11
NM_015215	CAMTA1
NM_004781	VAMP3
NM_001289862	PER3
